epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7368,3.64578,5.41379,3.1622,0.00111,0.33333,0.00089,0.0002,3.711,4.15559,3.36338,0.0928,0.0008,0.0008
2,24.7466,3.40048,5.17073,3.18789,0.00089,0.26667,0.00065,0.00029,3.34004,4.23949,3.34725,0.0843634,0.0013634,0.0013634
3,35.9093,3.39758,4.86033,3.15675,0.00156,0.46667,0.00144,0.00052,3.27693,4.28123,3.25982,0.0755704,0.0015704,0.0015704
4,49.3672,3.17958,4.67456,3.10018,0.00111,0.33333,0.00075,0.00018,3.4169,4.64444,3.3197,0.066421,0.001421,0.001421
5,61.4134,3.26868,4.6122,3.09697,0.00133,0.4,0.00107,0.00031,3.39633,4.45324,3.27943,0.0569152,0.0009152,0.0009152
